"IDEA_LIB_ID","IDEA_LIB_CONTENT","IDEA_2ND_ID"
556,"moralize upon",4
557,"pass under review",4
558,"rap",4
559,"reason",4
560,"reason about",4
561,"reason the point",4
562,"remark upon",4
563,"review",4
564,"sift",4
565,"study",4
566,"survey",4
567,"take up",4
568,"talk",4
569,"talk about",4
570,"talk of",4
571,"talk over",4
572,"thresh out",4
573,"touch upon",4
574,"treat",4
575,"treat of",4
576,"ventilate",4
577,"write up",4
579,"accents",4
580,"address",4
581,"affirmation",4
582,"allegation",4
583,"allude to",4
584,"analysis",4
585,"animadversion",4
586,"animadvert",4
588,"annotation",4
589,"answer",4
590,"apostrophe",4
591,"apparatus criticus",4
592,"approval",4
593,"assertion",4
594,"averment",4
595,"blurt",4
596,"blurt out",4
597,"book review",4
598,"call attention to",4
600,"chatter",4
601,"clarification",4
602,"commentary",4
604,"commentation",4
605,"construe",4
606,"conversation",4
607,"crack",4
608,"critical bibliography",4
609,"critical journal",4
610,"critical notice",4
